,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
0,2020-03-01,1239.49,2367.12,527.57,542.9699999999999,841.95,379.91,41.38,365.1100000000001,846.2099999999998,3267.0
1,2020-03-02,1363.77,2643.03,579.3299999999999,596.4599999999999,942.3199999999999,389.23,44.48000000000001,384.7699999999999,746.7800000000001,3496.0
2,2020-03-03,1294.5600000000002,2695.67,537.6099999999998,584.0300000000001,859.59,480.7099999999999,40.95,426.77,846.71,3435.0
3,2020-03-04,1098.61,2314.34,463.46,531.8399999999999,753.2800000000001,479.2699999999998,26.67000000000001,334.1,796.5199999999999,2875.0
4,2020-03-05,877.0,1779.44,334.65999999999997,480.4,616.62,495.1700000000001,25.67,346.43000000000006,721.6600000000001,2512.0
5,2020-03-06,718.6600000000001,1622.48,467.55,433.36999999999995,704.6500000000001,487.06,26.12,328.2899999999999,672.56,2151.0
6,2020-03-07,718.1500000000001,1698.9699999999998,420.84000000000003,465.50000000000006,682.7,526.24,28.22,294.93000000000006,675.5799999999999,2170.0
7,2020-03-08,754.1099999999999,1736.8400000000004,486.6499999999999,463.97,720.4000000000001,554.93,24.78,309.96000000000004,643.28,2344.0
8,2020-03-09,830.81,1768.38,380.7199999999999,472.57,635.0500000000001,543.12,22.240000000000002,309.62,811.55,2174.0
9,2020-03-10,1073.4300000000003,1989.35,367.29999999999995,441.84000000000003,614.0699999999999,500.6,19.6,311.87000000000006,784.0899999999999,2423.0
10,2020-03-11,841.0499999999998,1721.57,378.33000000000004,446.16,619.7900000000001,471.61999999999995,20.500000000000004,333.63000000000005,800.7800000000001,2143.0
11,2020-03-12,829.16,1834.21,423.25,487.85,657.59,530.3599999999999,23.48,339.26000000000005,699.84,2166.0
12,2020-03-13,871.9799999999999,2049.56,428.1900000000001,498.43,668.4900000000001,439.55000000000007,24.269999999999996,333.77,736.1999999999998,2304.0
13,2020-03-14,827.69,1844.1899999999998,355.74,443.1099999999999,567.99,421.00000000000006,20.709999999999997,347.76000000000005,740.75,2363.0
14,2020-03-15,806.3300000000002,1770.92,404.75,434.8900000000001,586.11,423.75000000000006,21.62,289.80999999999995,697.1399999999999,2083.0
15,2020-03-16,963.9300000000001,2198.16,415.52,477.75000000000006,637.8899999999999,459.34,23.52,294.71,733.1499999999999,2267.0
16,2020-03-17,1155.5100000000002,2578.7699999999995,517.9800000000001,520.77,744.4599999999999,500.22,36.86,287.49000000000007,787.2599999999998,2680.0
17,2020-03-18,1160.6999999999998,2451.06,531.6299999999999,573.5,767.39,509.77,38.20000000000001,322.06000000000006,1008.59,3168.0
18,2020-03-19,1326.99,2495.58,497.8399999999999,557.0300000000001,718.3799999999999,501.62000000000006,37.81999999999999,324.0,923.6099999999999,3759.0
19,2020-03-20,1149.0100000000002,2208.7500000000005,509.52,464.1400000000001,643.15,474.88,27.779999999999998,355.53000000000003,881.6600000000001,2720.0
20,2020-03-21,1198.19,2169.8199999999997,448.44999999999993,431.89000000000004,599.4,496.0399999999999,33.26,367.45,797.49,2969.0
21,2020-03-22,983.7700000000001,1604.9599999999998,357.76000000000005,311.28,426.41999999999996,455.35,24.809999999999995,323.29999999999995,833.1700000000001,2435.0
22,2020-03-23,903.25,1562.72,345.18999999999994,318.99999999999994,448.8699999999999,443.24999999999994,24.240000000000006,292.49000000000007,798.71,2214.0
23,2020-03-24,1088.0900000000001,1839.37,441.25000000000006,336.87999999999994,539.65,446.18,22.680000000000003,286.17999999999995,809.9000000000001,2149.0
24,2020-03-25,994.8699999999999,1628.59,552.12,300.44,592.81,442.7300000000001,24.080000000000002,301.67999999999995,742.8100000000001,2558.0
25,2020-03-26,908.27,1552.5300000000002,519.87,273.58,447.49,438.2600000000001,24.85,264.91999999999996,791.01,2307.0
26,2020-03-27,921.24,1573.3600000000006,403.28999999999996,258.83,438.37,415.4300000000002,22.29,250.25000000000003,774.48,2187.0
27,2020-03-28,844.99,1524.5799999999997,306.15000000000003,269.24999999999994,388.49999999999994,454.87999999999994,21.480000000000004,240.42999999999998,747.61,2061.0
28,2020-03-29,663.5699999999999,1523.33,260.97999999999996,250.00000000000003,328.41999999999996,423.93,15.899999999999999,236.87000000000003,792.82,1820.0
29,2020-03-30,752.6800000000001,1613.04,282.97999999999996,283.50000000000006,364.16,437.42,18.69,250.44000000000003,797.8000000000001,1792.0
30,2020-03-31,905.22,1846.9899999999998,346.41,281.60000000000014,423.03,449.17,21.58,275.69000000000005,783.68,2154.0
31,2020-04-01,942.91,1654.7699999999998,404.23,274.26000000000005,432.5399999999999,443.53999999999996,22.69,278.6499999999999,783.4,2348.0
32,2020-04-02,934.16,1853.4,252.09,249.92999999999998,327.78,432.59,22.34,259.62000000000006,832.0500000000001,2363.0
33,2020-04-03,818.88,1777.72,305.76,269.92,324.04999999999995,413.91999999999996,20.5,255.16000000000005,878.6200000000001,2073.0
34,2020-04-04,867.3600000000002,1865.6700000000003,236.54999999999998,286.87999999999994,334.09000000000003,411.0100000000001,20.810000000000002,265.82000000000005,882.37,2184.0
35,2020-04-05,833.8199999999999,1648.46,248.53,279.81,335.27000000000004,406.0899999999999,19.89,267.0299999999999,858.4999999999997,2037.0
36,2020-04-06,817.9600000000002,1734.34,242.43,261.78000000000003,310.11999999999995,409.9400000000001,19.28,231.1,711.48,1909.0
37,2020-04-07,762.2500000000001,1727.2399999999996,346.91,249.22,320.34999999999997,439.92999999999995,19.8,265.19,851.0099999999999,1785.0
38,2020-04-08,683.41,1734.6399999999999,553.57,252.27999999999997,430.16999999999996,414.7500000000001,20.16,249.96999999999997,848.95,1890.0
39,2020-04-09,714.9399999999998,1577.1400000000003,596.87,262.76,577.76,418.87,20.35,252.79,862.35,1900.0
40,2020-04-10,783.0699999999999,1432.1299999999999,377.67,274.6,334.28999999999996,434.9800000000001,16.26,258.47999999999996,834.21,2064.0
41,2020-04-11,850.5199999999999,1611.2600000000002,287.96000000000004,273.07,364.59999999999997,439.7599999999999,17.5,260.53000000000003,839.89,2092.0
42,2020-04-12,807.4499999999999,1617.15,263.33000000000004,246.58999999999997,331.46000000000004,450.99000000000007,17.7,254.17000000000004,862.36,2179.0
43,2020-04-13,828.1300000000002,1753.44,321.82,267.71,381.85,397.59999999999997,18.57,261.52,756.1700000000001,2155.0
44,2020-04-14,926.37,1965.23,286.49,275.68,369.02000000000004,379.24,19.11,255.28,743.36,2418.0
45,2020-04-15,820.6100000000002,1827.3000000000002,328.35,259.75,382.31,368.47999999999996,17.88,245.53000000000003,710.71,2420.0
46,2020-04-16,768.1899999999999,1608.51,311.7799999999999,267.46,383.15,351.06000000000006,17.36,248.57,791.6300000000001,2243.0
47,2020-04-17,707.1300000000001,1522.38,299.61,237.43999999999997,358.13000000000005,341.42,16.939999999999998,239.95000000000002,801.4200000000001,2176.0
48,2020-04-18,647.23,1444.19,352.5,233.89000000000001,384.89999999999986,378.76,17.09,254.13000000000002,699.07,2073.0
49,2020-04-19,579.74,1251.4399999999998,286.09,209.81999999999996,341.8,361.2700000000001,17.69,235.35999999999999,727.2400000000001,1901.0
50,2020-04-20,617.62,1332.0299999999997,308.54,239.69000000000003,362.84999999999997,364.93,17.45,249.67,649.2299999999999,1840.0
51,2020-04-21,442.8699999999999,1016.4999999999999,416.43,240.97000000000003,425.49000000000007,493.45,16.619999999999997,236.51999999999998,683.0999999999998,1725.0
52,2020-04-22,519.5300000000001,1116.9899999999998,316.24999999999994,255.47,371.8500000000001,419.40999999999997,16.169999999999998,226.43000000000004,684.9000000000001,1656.0
53,2020-04-23,618.0300000000001,1276.51,269.06999999999994,260.6,357.82,400.8300000000001,16.67,240.37999999999997,716.1199999999999,1751.0
54,2020-04-24,585.2900000000001,1227.1900000000003,272.46,248.96000000000004,349.13,349.25,14.990000000000002,291.77,734.0799999999998,1797.0
55,2020-04-25,534.5199999999999,1230.66,245.94,242.95000000000005,340.81999999999994,330.01000000000005,14.600000000000001,281.58,770.9300000000001,1688.0
56,2020-04-26,511.27,1199.66,277.51000000000005,239.77000000000004,360.21999999999997,354.78,14.969999999999999,216.7,746.9100000000001,1729.0
57,2020-04-27,429.2700000000001,988.2399999999999,287.64,261.4,379.01000000000005,357.36,15.01,219.98000000000005,767.3,1621.0
58,2020-04-28,493.99,1044.67,257.71999999999997,253.08999999999997,368.40000000000003,354.90999999999997,15.200000000000003,233.71,803.3499999999999,1688.0
59,2020-04-29,641.23,1220.0900000000001,286.84000000000003,269.12,414.2200000000001,346.36000000000007,16.15,236.20000000000002,804.5400000000001,1818.0
60,2020-04-30,686.7799999999999,1521.0900000000001,260.78999999999996,259.59,375.23,328.49,15.88,270.60999999999996,825.3399999999999,1951.0
61,2020-05-01,718.47,1585.22,267.27,288.77,398.41999999999996,326.13000000000005,18.25,247.63,514.54,2103.0
