Date,$FutureFlag,O3,$TS-O3
2020-03-01,0,846.21,774.095903
2020-03-02,0,746.78,811.782143
2020-03-03,0,846.71,759.820834
2020-03-04,0,796.52,812.043439
2020-03-05,0,721.66,785.814554
2020-03-06,0,672.56,746.693327
2020-03-07,0,675.58,721.034066
2020-03-08,0,643.28,722.612293
2020-03-09,0,811.55,705.732576
2020-03-10,0,784.09,793.669109
2020-03-11,0,800.78,779.318737
2020-03-12,0,699.84,788.040795
2020-03-13,0,736.20,735.290372
2020-03-14,0,740.75,754.291812
2020-03-15,0,697.14,756.669605
2020-03-16,0,733.15,733.879374
2020-03-17,0,787.26,752.697907
2020-03-18,0,1008.59,780.975353
2020-03-19,0,923.61,896.64061
2020-03-20,0,881.66,852.230754
2020-03-21,0,797.49,830.308025
2020-03-22,0,833.17,786.321468
2020-03-23,0,798.71,804.967545
2020-03-24,0,809.90,786.95903
2020-03-25,0,742.81,792.806833
2020-03-26,0,791.01,757.746145
2020-03-27,0,774.48,782.935072
2020-03-28,0,747.61,774.296629
2020-03-29,0,792.82,760.254585
2020-03-30,0,797.80,783.880964
2020-03-31,0,783.68,786.483471
2020-04-01,0,783.40,779.104474
2020-04-02,0,832.05,778.958148
2020-04-03,0,878.62,804.382243
2020-04-04,0,882.37,828.719346
2020-04-05,0,858.50,830.679065
2020-04-06,0,711.48,818.204797
2020-04-07,0,851.01,741.373341
2020-04-08,0,848.95,814.290584
2020-04-09,0,862.35,813.214045
2020-04-10,0,834.21,820.216776
2020-04-11,0,839.89,805.511041
2020-04-12,0,862.36,808.479363
2020-04-13,0,756.17,820.222002
2020-04-14,0,743.36,764.727972
2020-04-15,0,710.71,758.03357
2020-04-16,0,791.63,740.970946
2020-04-17,0,801.42,783.259079
2020-04-18,0,699.07,788.375254
2020-04-19,0,727.24,734.887976
2020-04-20,0,649.23,749.609389
2020-04-21,0,683.10,708.841998
2020-04-22,0,684.90,726.542184
2020-04-23,0,716.12,727.48285
2020-04-24,0,734.08,743.798168
2020-04-25,0,770.93,753.183918
2020-04-26,0,746.91,772.441428
2020-04-27,0,767.30,759.888771
2020-04-28,0,803.35,770.544419
2020-04-29,0,804.54,789.383856
2020-04-30,0,825.34,790.00574
2020-05-01,0,514.54,800.875651
2020-05-02,1,,638.454099
2020-05-03,1,,703.2106
2020-05-04,1,,737.05182
2020-05-05,1,,754.736967
2020-05-06,1,,763.97908
2020-05-07,1,,768.808934
2020-05-08,1,,771.332976
2020-05-09,1,,772.65202
2020-05-10,1,,773.341341
2020-05-11,1,,773.701575
2020-05-12,1,,773.88983
2020-05-13,1,,773.988211
2020-05-14,1,,774.039624
2020-05-15,1,,774.066492
2020-05-16,1,,774.080533
2020-05-17,1,,774.087871
2020-05-18,1,,774.091705
2020-05-19,1,,774.093709
2020-05-20,1,,774.094756
2020-05-21,1,,774.095304
2020-05-22,1,,774.09559
2020-05-23,1,,774.095739
2020-05-24,1,,774.095817
2020-05-25,1,,774.095858
2020-05-26,1,,774.09588
2020-05-27,1,,774.095891
2020-05-28,1,,774.095896
2020-05-29,1,,774.0959
2020-05-30,1,,774.095901
2020-05-31,1,,774.095902
2020-06-01,1,,774.095902
2020-06-02,1,,774.095903
2020-06-03,1,,774.095903
2020-06-04,1,,774.095903
2020-06-05,1,,774.095903
2020-06-06,1,,774.095903
2020-06-07,1,,774.095903
2020-06-08,1,,774.095903
2020-06-09,1,,774.095903
2020-06-10,1,,774.095903
2020-06-11,1,,774.095903
2020-06-12,1,,774.095903
2020-06-13,1,,774.095903
2020-06-14,1,,774.095903
2020-06-15,1,,774.095903
2020-06-16,1,,774.095903
2020-06-17,1,,774.095903
2020-06-18,1,,774.095903
2020-06-19,1,,774.095903
2020-06-20,1,,774.095903
2020-06-21,1,,774.095903
2020-06-22,1,,774.095903
2020-06-23,1,,774.095903
2020-06-24,1,,774.095903
2020-06-25,1,,774.095903
2020-06-26,1,,774.095903
2020-06-27,1,,774.095903
2020-06-28,1,,774.095903
2020-06-29,1,,774.095903
2020-06-30,1,,774.095903
2020-07-01,1,,774.095903
2020-07-02,1,,774.095903
2020-07-03,1,,774.095903
2020-07-04,1,,774.095903
2020-07-05,1,,774.095903
2020-07-06,1,,774.095903
2020-07-07,1,,774.095903
2020-07-08,1,,774.095903
2020-07-09,1,,774.095903
2020-07-10,1,,774.095903
2020-07-11,1,,774.095903
2020-07-12,1,,774.095903
2020-07-13,1,,774.095903
2020-07-14,1,,774.095903
2020-07-15,1,,774.095903
2020-07-16,1,,774.095903
2020-07-17,1,,774.095903
2020-07-18,1,,774.095903
2020-07-19,1,,774.095903
2020-07-20,1,,774.095903
2020-07-21,1,,774.095903
2020-07-22,1,,774.095903
2020-07-23,1,,774.095903
2020-07-24,1,,774.095903
2020-07-25,1,,774.095903
2020-07-26,1,,774.095903
2020-07-27,1,,774.095903
2020-07-28,1,,774.095903
2020-07-29,1,,774.095903
2020-07-30,1,,774.095903
2020-07-31,1,,774.095903
2020-08-01,1,,774.095903
2020-08-02,1,,774.095903
2020-08-03,1,,774.095903
2020-08-04,1,,774.095903
2020-08-05,1,,774.095903
2020-08-06,1,,774.095903
2020-08-07,1,,774.095903
2020-08-08,1,,774.095903
2020-08-09,1,,774.095903
2020-08-10,1,,774.095903
2020-08-11,1,,774.095903
2020-08-12,1,,774.095903
2020-08-13,1,,774.095903
2020-08-14,1,,774.095903
2020-08-15,1,,774.095903
2020-08-16,1,,774.095903
2020-08-17,1,,774.095903
2020-08-18,1,,774.095903
2020-08-19,1,,774.095903
2020-08-20,1,,774.095903
2020-08-21,1,,774.095903
2020-08-22,1,,774.095903
2020-08-23,1,,774.095903
2020-08-24,1,,774.095903
2020-08-25,1,,774.095903
2020-08-26,1,,774.095903
2020-08-27,1,,774.095903
2020-08-28,1,,774.095903
2020-08-29,1,,774.095903
2020-08-30,1,,774.095903
2020-08-31,1,,774.095903
2020-09-01,1,,774.095903
2020-09-02,1,,774.095903
2020-09-03,1,,774.095903
2020-09-04,1,,774.095903
2020-09-05,1,,774.095903
2020-09-06,1,,774.095903
2020-09-07,1,,774.095903
2020-09-08,1,,774.095903
2020-09-09,1,,774.095903
2020-09-10,1,,774.095903
2020-09-11,1,,774.095903
2020-09-12,1,,774.095903
2020-09-13,1,,774.095903
2020-09-14,1,,774.095903
2020-09-15,1,,774.095903
2020-09-16,1,,774.095903
2020-09-17,1,,774.095903
2020-09-18,1,,774.095903
2020-09-19,1,,774.095903
2020-09-20,1,,774.095903
2020-09-21,1,,774.095903
2020-09-22,1,,774.095903
2020-09-23,1,,774.095903
2020-09-24,1,,774.095903
2020-09-25,1,,774.095903
2020-09-26,1,,774.095903
2020-09-27,1,,774.095903
2020-09-28,1,,774.095903
2020-09-29,1,,774.095903
2020-09-30,1,,774.095903
2020-10-01,1,,774.095903
2020-10-02,1,,774.095903
2020-10-03,1,,774.095903
2020-10-04,1,,774.095903
2020-10-05,1,,774.095903
2020-10-06,1,,774.095903
2020-10-07,1,,774.095903
2020-10-08,1,,774.095903
2020-10-09,1,,774.095903
2020-10-10,1,,774.095903
2020-10-11,1,,774.095903
2020-10-12,1,,774.095903
2020-10-13,1,,774.095903
2020-10-14,1,,774.095903
2020-10-15,1,,774.095903
2020-10-16,1,,774.095903
2020-10-17,1,,774.095903
2020-10-18,1,,774.095903
2020-10-19,1,,774.095903
2020-10-20,1,,774.095903
2020-10-21,1,,774.095903
2020-10-22,1,,774.095903
2020-10-23,1,,774.095903
2020-10-24,1,,774.095903
2020-10-25,1,,774.095903
2020-10-26,1,,774.095903
2020-10-27,1,,774.095903
2020-10-28,1,,774.095903
2020-10-29,1,,774.095903
2020-10-30,1,,774.095903
2020-10-31,1,,774.095903
2020-11-01,1,,774.095903
2020-11-02,1,,774.095903
2020-11-03,1,,774.095903
2020-11-04,1,,774.095903
2020-11-05,1,,774.095903
2020-11-06,1,,774.095903
2020-11-07,1,,774.095903
2020-11-08,1,,774.095903
2020-11-09,1,,774.095903
2020-11-10,1,,774.095903
2020-11-11,1,,774.095903
2020-11-12,1,,774.095903
2020-11-13,1,,774.095903
2020-11-14,1,,774.095903
2020-11-15,1,,774.095903
2020-11-16,1,,774.095903
2020-11-17,1,,774.095903
2020-11-18,1,,774.095903
2020-11-19,1,,774.095903
2020-11-20,1,,774.095903
2020-11-21,1,,774.095903
2020-11-22,1,,774.095903
2020-11-23,1,,774.095903
2020-11-24,1,,774.095903
2020-11-25,1,,774.095903
2020-11-26,1,,774.095903
2020-11-27,1,,774.095903
2020-11-28,1,,774.095903
2020-11-29,1,,774.095903
2020-11-30,1,,774.095903
2020-12-01,1,,774.095903
2020-12-02,1,,774.095903
2020-12-03,1,,774.095903
2020-12-04,1,,774.095903
2020-12-05,1,,774.095903
2020-12-06,1,,774.095903
2020-12-07,1,,774.095903
2020-12-08,1,,774.095903
2020-12-09,1,,774.095903
2020-12-10,1,,774.095903
2020-12-11,1,,774.095903
2020-12-12,1,,774.095903
2020-12-13,1,,774.095903
2020-12-14,1,,774.095903
2020-12-15,1,,774.095903
2020-12-16,1,,774.095903
2020-12-17,1,,774.095903
2020-12-18,1,,774.095903
2020-12-19,1,,774.095903
2020-12-20,1,,774.095903
2020-12-21,1,,774.095903
2020-12-22,1,,774.095903
2020-12-23,1,,774.095903
2020-12-24,1,,774.095903
2020-12-25,1,,774.095903
2020-12-26,1,,774.095903
2020-12-27,1,,774.095903
2020-12-28,1,,774.095903
2020-12-29,1,,774.095903
2020-12-30,1,,774.095903
2020-12-31,1,,774.095903
2021-01-01,1,,774.095903
2021-01-02,1,,774.095903
2021-01-03,1,,774.095903
2021-01-04,1,,774.095903
2021-01-05,1,,774.095903
2021-01-06,1,,774.095903
2021-01-07,1,,774.095903
2021-01-08,1,,774.095903
2021-01-09,1,,774.095903
2021-01-10,1,,774.095903
2021-01-11,1,,774.095903
2021-01-12,1,,774.095903
2021-01-13,1,,774.095903
2021-01-14,1,,774.095903
2021-01-15,1,,774.095903
2021-01-16,1,,774.095903
2021-01-17,1,,774.095903
2021-01-18,1,,774.095903
2021-01-19,1,,774.095903
2021-01-20,1,,774.095903
2021-01-21,1,,774.095903
2021-01-22,1,,774.095903
2021-01-23,1,,774.095903
2021-01-24,1,,774.095903
2021-01-25,1,,774.095903
2021-01-26,1,,774.095903
2021-01-27,1,,774.095903
2021-01-28,1,,774.095903
2021-01-29,1,,774.095903
2021-01-30,1,,774.095903
2021-01-31,1,,774.095903
2021-02-01,1,,774.095903
2021-02-02,1,,774.095903
2021-02-03,1,,774.095903
2021-02-04,1,,774.095903
2021-02-05,1,,774.095903
2021-02-06,1,,774.095903
2021-02-07,1,,774.095903
2021-02-08,1,,774.095903
2021-02-09,1,,774.095903
2021-02-10,1,,774.095903
2021-02-11,1,,774.095903
2021-02-12,1,,774.095903
2021-02-13,1,,774.095903
2021-02-14,1,,774.095903
2021-02-15,1,,774.095903
2021-02-16,1,,774.095903
2021-02-17,1,,774.095903
2021-02-18,1,,774.095903
2021-02-19,1,,774.095903
2021-02-20,1,,774.095903
2021-02-21,1,,774.095903
2021-02-22,1,,774.095903
2021-02-23,1,,774.095903
2021-02-24,1,,774.095903
2021-02-25,1,,774.095903
2021-02-26,1,,774.095903
2021-02-27,1,,774.095903
2021-02-28,1,,774.095903
2021-03-01,1,,774.095903
2021-03-02,1,,774.095903
2021-03-03,1,,774.095903
2021-03-04,1,,774.095903
2021-03-05,1,,774.095903
2021-03-06,1,,774.095903
2021-03-07,1,,774.095903
2021-03-08,1,,774.095903
2021-03-09,1,,774.095903
2021-03-10,1,,774.095903
2021-03-11,1,,774.095903
2021-03-12,1,,774.095903
2021-03-13,1,,774.095903
2021-03-14,1,,774.095903
2021-03-15,1,,774.095903
2021-03-16,1,,774.095903
2021-03-17,1,,774.095903
2021-03-18,1,,774.095903
2021-03-19,1,,774.095903
2021-03-20,1,,774.095903
2021-03-21,1,,774.095903
2021-03-22,1,,774.095903
2021-03-23,1,,774.095903
2021-03-24,1,,774.095903
2021-03-25,1,,774.095903
2021-03-26,1,,774.095903
2021-03-27,1,,774.095903
2021-03-28,1,,774.095903
2021-03-29,1,,774.095903
2021-03-30,1,,774.095903
2021-03-31,1,,774.095903
2021-04-01,1,,774.095903
2021-04-02,1,,774.095903
2021-04-03,1,,774.095903
2021-04-04,1,,774.095903
2021-04-05,1,,774.095903
2021-04-06,1,,774.095903
2021-04-07,1,,774.095903
2021-04-08,1,,774.095903
2021-04-09,1,,774.095903
2021-04-10,1,,774.095903
2021-04-11,1,,774.095903
2021-04-12,1,,774.095903
2021-04-13,1,,774.095903
2021-04-14,1,,774.095903
2021-04-15,1,,774.095903
2021-04-16,1,,774.095903
2021-04-17,1,,774.095903
2021-04-18,1,,774.095903
2021-04-19,1,,774.095903
2021-04-20,1,,774.095903
2021-04-21,1,,774.095903
2021-04-22,1,,774.095903
2021-04-23,1,,774.095903
2021-04-24,1,,774.095903
2021-04-25,1,,774.095903
2021-04-26,1,,774.095903
2021-04-27,1,,774.095903
2021-04-28,1,,774.095903
2021-04-29,1,,774.095903
2021-04-30,1,,774.095903
2021-05-01,1,,774.095903
2021-05-02,1,,774.095903
2021-05-03,1,,774.095903
2021-05-04,1,,774.095903
2021-05-05,1,,774.095903
2021-05-06,1,,774.095903
2021-05-07,1,,774.095903
2021-05-08,1,,774.095903
2021-05-09,1,,774.095903
2021-05-10,1,,774.095903
2021-05-11,1,,774.095903
2021-05-12,1,,774.095903
2021-05-13,1,,774.095903
2021-05-14,1,,774.095903
2021-05-15,1,,774.095903
2021-05-16,1,,774.095903
2021-05-17,1,,774.095903
2021-05-18,1,,774.095903
2021-05-19,1,,774.095903
2021-05-20,1,,774.095903
2021-05-21,1,,774.095903
2021-05-22,1,,774.095903
2021-05-23,1,,774.095903
2021-05-24,1,,774.095903
2021-05-25,1,,774.095903
2021-05-26,1,,774.095903
2021-05-27,1,,774.095903
2021-05-28,1,,774.095903
2021-05-29,1,,774.095903
2021-05-30,1,,774.095903
2021-05-31,1,,774.095903
2021-06-01,1,,774.095903
2021-06-02,1,,774.095903
2021-06-03,1,,774.095903
2021-06-04,1,,774.095903
2021-06-05,1,,774.095903
2021-06-06,1,,774.095903
2021-06-07,1,,774.095903
2021-06-08,1,,774.095903
2021-06-09,1,,774.095903
2021-06-10,1,,774.095903
2021-06-11,1,,774.095903
2021-06-12,1,,774.095903
2021-06-13,1,,774.095903
2021-06-14,1,,774.095903
2021-06-15,1,,774.095903
2021-06-16,1,,774.095903
2021-06-17,1,,774.095903
2021-06-18,1,,774.095903
2021-06-19,1,,774.095903
2021-06-20,1,,774.095903
2021-06-21,1,,774.095903
2021-06-22,1,,774.095903
2021-06-23,1,,774.095903
2021-06-24,1,,774.095903
2021-06-25,1,,774.095903
2021-06-26,1,,774.095903
2021-06-27,1,,774.095903
2021-06-28,1,,774.095903
2021-06-29,1,,774.095903
2021-06-30,1,,774.095903
2021-07-01,1,,774.095903
2021-07-02,1,,774.095903
2021-07-03,1,,774.095903
2021-07-04,1,,774.095903
2021-07-05,1,,774.095903
2021-07-06,1,,774.095903
2021-07-07,1,,774.095903
2021-07-08,1,,774.095903
2021-07-09,1,,774.095903
2021-07-10,1,,774.095903
2021-07-11,1,,774.095903
2021-07-12,1,,774.095903
2021-07-13,1,,774.095903
2021-07-14,1,,774.095903
2021-07-15,1,,774.095903
2021-07-16,1,,774.095903
2021-07-17,1,,774.095903
2021-07-18,1,,774.095903
2021-07-19,1,,774.095903
2021-07-20,1,,774.095903
2021-07-21,1,,774.095903
2021-07-22,1,,774.095903
2021-07-23,1,,774.095903
2021-07-24,1,,774.095903
2021-07-25,1,,774.095903
2021-07-26,1,,774.095903
